Variable_10div,IV_10div,Variable_5div,IV_5div,Variable_3div,IV_3div
PAY_0,"0,8772",PAY_0,"0,8772",PAY_0,"0,8772"
PAY_2,"0,5488",PAY_2,"0,5488",PAY_2,"0,5488"
PAY_3,"0,416",PAY_3,"0,416",PAY_3,"0,416"
PAY_4,"0,3673",PAY_4,"0,3673",PAY_4,"0,3673"
PAY_5,"0,3402",PAY_5,"0,3402",PAY_5,"0,3402"
PAY_6,"0,2933",PAY_6,"0,2933",PAY_6,"0,2933"
LIMIT_BAL,"0,1752",LIMIT_BAL,"0,1688",LIMIT_BAL,"0,147"
PAY_AMT1,"0,1624",PAY_AMT1,"0,1555",PAY_AMT1,"0,1247"
PAY_AMT2,"0,1461",PAY_AMT2,"0,1366",PAY_AMT2,"0,1111"
PAY_AMT3,"0,1242",PAY_AMT3,"0,117",PAY_AMT3,"0,0934"
PAY_AMT4,"0,0909",PAY_AMT4,"0,0845",PAY_AMT4,"0,0806"
PAY_AMT6,"0,0906",PAY_AMT6,"0,0843",PAY_AMT6,"0,0785"
PAY_AMT5,"0,0816",PAY_AMT5,"0,0726",PAY_AMT5,"0,0695"
EDUCATION,"0,0373",EDUCATION,"0,0373",EDUCATION,"0,0373"
BILL_AMT6,"0,0203",AGE,"0,0141",SEX,"0,0092"
AGE,"0,0191",BILL_AMT6,"0,0132",MARRIAGE,"0,0072"
BILL_AMT5,"0,0149",BILL_AMT5,"0,0126",AGE,"0,0068"
BILL_AMT4,"0,014",BILL_AMT2,"0,0104",BILL_AMT1,"0,0058"
BILL_AMT2,"0,0122",BILL_AMT4,"0,0102",BILL_AMT3,"0,0057"
BILL_AMT1,"0,0119",BILL_AMT1,"0,0101",BILL_AMT2,"0,005"
BILL_AMT3,"0,0111",BILL_AMT3,"0,0096",BILL_AMT4,"0,0046"
SEX,"0,0099",SEX,"0,0092",BILL_AMT5,"0,0033"
MARRIAGE,"0,0099",MARRIAGE,"0,0072",BILL_AMT6,"0,0021"
